payroll,CH081801FIN,30042021,20520210732,,,,
FIV,20001935,,C,ERS,4/30/2021,ERS,492
FIV,20001936,,C,BAS,4/30/2021,EMP,294.15
FIV,20001936,,C,ERS,4/30/2021,ERS,588.3
FIV,20001941,,C,BAS,4/30/2021,EMP,294.15
FIV,20001941,,C,AVC,4/30/2021,EMP,294.15
FIV,20001941,,C,ERS,4/30/2021,ERS,588.3
FIV,20001944,,C,BAS,4/30/2021,EMP,286.125
FIV,20001944,,C,ERS,4/30/2021,ERS,572.25
FIV,20001951,,C,BAS,4/30/2021,EMP,410.175
FIV,20001951,,C,AVC,4/30/2021,EMP,410.175
FIV,20001951,,C,ERS,4/30/2021,ERS,820.35
FIV,20001994,,C,BAS,4/30/2021,EMP,438.75
FIV,20001994,,C,ERS,4/30/2021,ERS,877.5
FIV,20002014,,C,BAS,4/30/2021,EMP,457.8
FIV,20002014,,C,ERS,4/30/2021,ERS,915.6
FIV,20002024,,C,BAS,4/30/2021,EMP,294.15
FIV,20002024,,C,ERS,4/30/2021,ERS,588.3
FIV,20002035,,C,BAS,4/30/2021,EMP,246
FIV,20002035,,C,ERS,4/30/2021,ERS,492
FIV,20002047,,C,BAS,4/30/2021,EMP,278.1
FIV,20002047,,C,ERS,4/30/2021,ERS,556.2
FIV,20002072,,C,BAS,4/30/2021,EMP,410.175
FIV,20002072,,C,AVC,4/30/2021,EMP,410.175
FIV,20002072,,C,ERS,4/30/2021,ERS,820.35
FIV,20002076,,C,BAS,4/30/2021,EMP,476.155
FIV,20002076,,C,ERS,4/30/2021,ERS,952.31
FIV,20002094,,C,BAS,4/30/2021,EMP,372.675
FIV,20002094,,C,ERS,4/30/2021,ERS,745.35
FIV,20002104,,C,BAS,4/30/2021,EMP,363.75
FIV,20002104,,C,ERS,4/30/2021,ERS,727.5
FIV,20002113,,C,BAS,4/30/2021,EMP,319.125
FIV,20002113,,C,AVC,4/30/2021,EMP,319.125
FIV,20002113,,C,ERS,4/30/2021,ERS,638.25
FIV,20002152,,C,BAS,4/30/2021,EMP,270.075
FIV,20002152,,C,ERS,4/30/2021,ERS,540.15
FIV,20002157,,C,BAS,4/30/2021,EMP,319.125
FIV,20002157,,C,ERS,4/30/2021,ERS,638.25
FIV,20002167,,C,BAS,4/30/2021,EMP,229.95
FIV,20002167,,C,ERS,4/30/2021,ERS,459.9
FIV,20002176,,C,BAS,4/30/2021,EMP,448.255
FIV,20002176,,C,ERS,4/30/2021,ERS,896.51
FIV,20002177,,C,BAS,4/30/2021,EMP,294.15
FIV,20002177,,C,ERS,4/30/2021,ERS,588.3
FIV,20002193,,C,BAS,4/30/2021,EMP,294.15
FIV,20002193,,C,ERS,4/30/2021,ERS,588.3
FIV,20002215,,C,BAS,4/30/2021,EMP,294.15
FIV,20002215,,C,ERS,4/30/2021,ERS,588.3
FIV,20002233,,C,BAS,4/30/2021,EMP,310.2
FIV,20002233,,C,ERS,4/30/2021,ERS,620.4
FIV,20002240,,C,BAS,4/30/2021,EMP,278.1
FIV,20002240,,C,ERS,4/30/2021,ERS,556.2
FIV,20002252,,C,BAS,4/30/2021,EMP,294.15
FIV,20002252,,C,ERS,4/30/2021,ERS,588.3
